symbol,glft_sigma,glft_A,glft_k,mean_return_glft,mean_return_twap,mean_return_final_dqn,mean_return_initial_dqn,improvement_final_minus_glft,improvement_final_minus_twap,twap_minus_glft
CAT,0.0005774668646342904,24.0,136.29111984331414,9691.330772874106,9774.437353951684,15823.512021352346,8469.420782293153,6132.18124847824,6049.074667400662,83.10658107757808
PG,0.000409566756796048,24.0,136.29111984331414,9537.41419084546,9713.633405952254,14743.17089136033,8225.23641105511,5205.75670051487,5029.5374854080765,176.21921510679385
GOOGL,0.00059015680837537,24.0,136.29111984331414,9808.40008659241,9933.753228246736,13905.103316003479,8473.454291485186,4096.703229411069,3971.350087756742,125.35314165432646
JPM,0.0005493675020489553,24.0,136.29111984331414,9497.717266105707,9416.975799779977,12655.132246197416,8293.701627823577,3157.4149800917094,3238.156446417439,-80.74146632572956
MSFT,0.00041226161845855073,24.0,136.29111984331414,9630.56303890218,9465.546447898214,10687.348701520903,8454.150869332654,1056.7856626187222,1221.802253622689,-165.01659100396682
